date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,h2h_home_win_rate,h2h_avg_goal_diff
1934-05-31,Germany,Sweden,True,FIFA World Cup,1.0,0.0,7.0,1.5,1.0,0.0,3.6666666666666665,1.3333333333333333,57,1779,1722,home_win,0.5,0.0
1934-05-31,Italy,Spain,False,FIFA World Cup,1.0,0.0,5.5,0.5,1.0,0.0,4.666666666666667,0.6666666666666666,-410,1500,1910,draw,0.5,0.0
1934-06-01,Italy,Spain,False,FIFA World Cup,0.6666666666666666,0.3333333333333333,4.0,0.6666666666666666,0.75,0.25,3.75,0.75,-410,1500,1910,home_win,0.5,0.0
1934-06-03,Czechoslovakia,Germany,True,FIFA World Cup,1.0,0.0,2.333333333333333,1.3333333333333333,1.0,0.0,5.333333333333333,1.3333333333333333,-279,1500,1779,home_win,0.5,0.0
1934-06-03,Italy,Austria,False,FIFA World Cup,0.75,0.25,3.25,0.5,1.0,0.0,3.6666666666666665,1.3333333333333333,-500,1500,2000,home_win,0.5,0.0
1934-06-07,Austria,Germany,True,FIFA World Cup,0.75,0.0,2.75,1.25,0.75,0.0,4.25,1.75,221,2000,1779,away_win,0.5,0.0
1934-06-10,Italy,Czechoslovakia,False,FIFA World Cup,0.8,0.2,2.8,0.4,1.0,0.0,2.5,1.25,0,1500,1500,home_win,0.5,0.0
1935-01-06,Argentina,Chile,True,Copa América,0.8,0.0,3.4,1.4,0.4,0.1,2.0,1.9,518,2018,1500,home_win,0.75,2.125
1935-01-13,Peru,Uruguay,False,Copa América,0.125,0.0,0.75,3.375,0.7,0.0,3.4,1.2,-464,1500,1964,away_win,0.0,-2.6666666666666665
1935-01-18,Chile,Uruguay,True,Copa América,0.4,0.1,2.1,1.8,0.7,0.0,3.1,1.2,-464,1500,1964,away_win,0.0,-2.857142857142857
1935-01-20,Peru,Argentina,False,Copa América,0.1111111111111111,0.0,0.6666666666666666,3.111111111111111,0.8,0.0,3.3,1.4,-518,1500,2018,away_win,0.5,0.0
1935-01-26,Peru,Chile,False,Copa América,0.1,0.0,0.7,3.2,0.4,0.1,2.2,1.8,0,1500,1500,home_win,0.5,0.0
1935-01-27,Argentina,Uruguay,True,Copa América,0.8,0.0,3.4,1.5,0.7,0.0,2.4,1.3,54,2018,1964,away_win,0.3,-0.4
1936-12-27,Brazil,Peru,True,Copa América,0.3,0.1,1.9,1.9,0.2,0.0,0.8,2.8,359,1859,1500,home_win,0.5,0.0
1936-12-30,Argentina,Chile,False,Copa América,0.7,0.0,3.0,1.7,0.4,0.1,2.1,1.6,510,2010,1500,home_win,0.7777777777777778,2.2222222222222223
1937-01-02,Paraguay,Uruguay,True,Copa América,0.4,0.0,1.9,3.0,0.8,0.0,2.5,1.0,-253,1748,2001,home_win,0.5,-0.6666666666666666
1937-01-03,Brazil,Chile,True,Copa América,0.4,0.1,2.2,2.0,0.3,0.1,1.5,1.7,367,1867,1500,home_win,0.6,2.4
1937-01-06,Peru,Uruguay,True,Copa América,0.1,0.0,0.7,2.9,0.8,0.0,2.7,1.1,-501,1500,2001,away_win,0.0,-2.25
1937-01-09,Argentina,Paraguay,False,Copa América,0.7,0.0,3.0,1.8,0.5,0.0,2.2,2.9,263,2011,1748,home_win,0.875,2.625
1937-01-10,Chile,Uruguay,True,Copa América,0.3,0.1,1.8,2.0,0.8,0.0,2.7,1.2,-501,1500,2001,home_win,0.0,-2.625
1937-01-13,Brazil,Paraguay,True,Copa América,0.5,0.1,2.7,2.2,0.5,0.0,2.3,2.7,119,1867,1748,home_win,0.6666666666666666,1.6666666666666667
