player_name,team,position,age,nationality,club,photo_url
Martin Experience,Haiti,Defender,,,,
Ricardo Ade,Haiti,Defender,,,,
Ruben Providence,Haiti,Forward,,,,
Wilguens Paugain,Haiti,Defender,,,,
Wilson Isidor,Haiti,Forward,,,,
Woodensky Pierre,Haiti,Midfielder,,,,
Yassin Fortune,Haiti,Forward,,,,
Ali Alipour,Iran,Forward,,,,
Ali Nemati,Iran,Defender,,,,
Alireza Beiranvand,Iran,Goalkeeper,,,,
Alireza Jahanbakhsh,Iran,Midfielder,,,,
Amirhossein Hosseinzadeh,Iran,Forward,,,,
Amirmohammad Razzaghinia,Iran,Midfielder,,,,
Aria Yousefi,Iran,Defender,,,,
Danial Eirl,Iran,Midfielder,,,,
Dennis Eckert,Iran,Forward,,,,
Ehsan Hajsafi,Iran,Midfielder,,,,
Hossein Hosseini,Iran,Goalkeeper,,,,
Hossein Kanaani,Iran,Defender,,,,
Mehdi Ghayedi,Iran,Forward,,,,
Mehdi Taremi,Iran,Forward,,,,
Mehdi Torabi,Iran,Midfielder,,,,
Milad Mohammadi,Iran,Defender,,,,
Mohammad Ghorbani,Iran,Midfielder,,,,
Mohammad Mohebi,Iran,Midfielder,,,,
Payam Niazmand,Iran,Goalkeeper,,,,
Ramin Rezaeian,Iran,Defender,,,,
Rouzbeh Cheshmi,Iran,Defender,,,,
Saeid Ezatolahi,Iran,Midfielder,,,,
Saleh Hardani,Iran,Defender,,,,
Saman Ghoddos,Iran,Forward,,,,
Shahriyar Moghanlou,Iran,Forward,,,,
Shoja Khalilzadeh,Iran,Defender,,,,
Ahmed Basil,Iraq,Goalkeeper,,,,
Ahmed Maknzi,Iraq,Defender,,,,
Ahmed Qasem,Iraq,Midfielder,,,,
Aimar Sher,Iraq,Midfielder,,,,
Akam Hashim,Iraq,Defender,,,,
Ali Al-Hamadi,Iraq,Forward,,,,
Ali Jasim,Iraq,Midfielder,,,,
Ali Yousif,Iraq,Forward,,,,
Amir Al-Ammari,Iraq,Midfielder,,,,
Aymen Hussein,Iraq,Forward,,,,
Fahad Talib,Iraq,Goalkeeper,,,,
Frans Putros,Iraq,Defender,,,,
Hussein Ali,Iraq,Defender,,,,
Ibrahim Bayesh,Iraq,Midfielder,,,,
